Title,Source,Location,Publisher Location,Date,Sentences,Relevant
Tharoor lambasts 'notebandi' [Jaipur],The Times of India,JAIPUR,New Delhi,2016-12-01,"could be more accessible to the last man. Tharoor asked that why new notes were not printed in advance before the announcement. ""It appears that",0
Sugar prices expected to remain firm in the near term: IRCA [Agriculture],The Economic Times,PUNE,New Delhi,2016-12-01,following the demonetisation announcement. While the mills in Maharashtra and Karnataka are likely to benefit from the rising sugar prices and the relatively stable cane,0
MERC INDIA CEO SEES 'INDIRECT IMPACT' OF DEMONETISATION HITTING LUXURY CAR BUYING,India Business Insight,NA,Bangalore,2016-12-01,"the indirect impact of demonetisation to be 'huge'. However, there is not likely to be any direct impact on the auto sector due to the",0
Q2 GDP growth misses estimates,DNA : Daily News & Analysis,New Delhi,Mumbai,2016-12-01,be a year of two halves as the drive to demonetize is likely to impart a negative bias to the numbers in the near term.,0
Demonetisation seen dominating GST Council meeting starting today,Businessline,NA,Chennai,2016-12-01,"model legislations. “It (demonetisation) is not on the agenda, but it is likely to be discussed,” said a State Finance Minister. While some States have|next April as demonetisation is impacting States’ economy. The States are also unlikely to budge from their stance for greater administrative control under the Goods",0
Cashless transactions: EDCs to reach Rythu Bazars by next week [Vijayawada],The Times of India,VIJAYAWADA,New Delhi,2016-12-01,vegetable sales which saw a dip following the cash crunch due to demonetisation are likely to stabilize. It is learnt that the vendors at Rythu,0
'5 crore pieces of new notes being circulated in Bihar-Jharkhand every day' [Patna],The Times of India,NA,New Delhi,2016-12-01,"one should use plastic money and netbanking. In view of the demonetisation, new currency notes are being printed 24X7. But the capacity of note printing",0
Demonetisation: Retailers at popular shopping hubs still accepting old currency [Retail],The Economic Times,NEW DELHI/BENGALURU/MUMBAI,New Delhi,2016-12-01,Vardaan Market stopped accepting old notes for 3-4 days after demonetisation thinking new notes would be made available and business would return to normal. But,0
Demonetisation: Retailers at popular shopping hubs still accepting old currency [India Business],The Times of India,NEW DELHI/BENGALURU/MUMBAI,New Delhi,2016-12-02,Vardaan Market stopped accepting old notes for 3-4 days after demonetisation thinking new notes would be made available and business would return to normal. But,0
Rs 4.7 Cr cash in Rs 2000 notes! Biggest seizure in new currency post demonetisation,The Northlines,Bengaluru,New Delhi,2016-12-02,"Bengaluru, Dec. 2 -- It's the biggest seizure of cash in new currency post demonetisation move by PM Narendra Modi. Acting on a|even small amounts from their accounts. ""This is the highest seizure of the new currency in the country post the currency ban on November 8.",0
How they broke the crunch,The Telegraph (India),NA,NEW DELHI,2016-12-02,"a senior income-tax official said: ""This is the highest seizure of the new currency in the country post the currency ban on November 8. Some",0
India has largely welcomed demonetisation: Jaitley,IANS English,New Delhi,Noida,2016-12-02,"ask the person standing in queue about demonetisation, he or she is likely to say -- I'm troubled, but am happy this decision has been",0
"Man declares INR 13,000 cr of black money; goes missing",Businessline,NA,Chennai,2016-12-02,"through this, so they cancelled the form. I don’t know how that (money laundering) could happen because the demonetisation came later on,” said Sethna. While",0
When a bank has no money for its customers,The Hindu,Others,Chennai,2016-12-02,"the now-defunct notes and deposited them, but hasn't received any of the new notes owing to the RBI ban. Since November 14, it has received",0
"Demonetisation: Parliament frozen, two House panels to call RBI Governor Urjit Patel, Secretaries to explain impact",Indian Express,NA,NEW DELHI,2016-12-02,"assess the impact of demonetisation and the overall monetary policy."" This is likely to generate heat since it will involve discussions. The Congress and other",0
RBI calibrating release of currency: Jaitley,Businessline,NA,Chennai,2016-12-02,auto sales: Finance Minister on impact of demonetisation on economy. India is likely to continue to be fastest growing major economy in world like last,0
"While you queued up, they stacked up",The Telegraph (India),NA,NEW DELHI,2016-12-02,achieve under the demonetisation regime.A day after spreading out Rs 4.7 crore in new notes on a mattress after a search and seizure operation in,0
India has largely welcomed demonetisation: Jaitley,IANS English,New Delhi,Noida,2016-12-02,"ask the person standing in queue about demonetisation, he or she is likely to say -- I'm troubled, but am happy this decision has been",0
Those indulging in converting black money into white won't be spared: Shaktikanta Das,Asian News International,NA,Camden,2016-12-02,"in coming days,"" He said. In the biggest seizure of cash in new currency post demonetisation, the Income Tax department on Thursday confiscated over Rs",0
15 PILs on note ban: SC hearing on Friday,Free Press Journal,New Delhi,NEW DELHI,2016-12-02,"some seeking to strike down the demonetisation drive and even declare the new currency notes of Rs 2,000 and Rs 500 carrying the denomination figure",0
Most ATMs ready to spew new notes,DNA : Daily News & Analysis,Mumbai,Mumbai,2016-12-02,"were reconfigured within the first ten days after demonetization and started dispensing the new notes. ""The NCR office was the centre from where we planned",0
We plan to grow over $3 billion in assets in India over 3-5 years: Sachin Doshi of APG [Interviews],The Economic Times,NA,New Delhi,2016-12-02,"field for developers and consumers. Both RERA and the recent demonetisation announcements are likely to positively impact top-tier developers like our partner Godrej, as they",0
Banks look to cash in on surging demand for PoS machines,Businessline,NA,Chennai,2016-12-02,"for transactions done via these machines Following demonetisation and the shortage of new currency notes, merchants and shopkeepers are racing to embrace technology. As a",0
Demonetisation hits disposable incomes and sales of textile goods [Garments / Textiles],The Economic Times,KOLKATA,New Delhi,2016-12-02,"impact will be neutralised. In ICRA's assessment, the impact of demonetisation is likely to be the most severe for winter-wear retailers and manufacturers focused on",0
"Demonetisation: Bombay HC asks lower courts to take cheques, DDs for bail bonds",The Hindustan Times,India,New Delhi,2016-12-02,"and sureties, considering how several undertrials have been languishing in jails with no new currency notes after the Centre's demonetisation move. The notice, however, specifies",0
Demand for apparels may slowdown in future,The Hitavada,NA,NEW DELHI,2016-12-02,"impact will be neutralised. In ICRA's assessment, the impact of demonetisation is likely to be the most severe for winter-wear retailers and manufacturers focused on",0
"Body blow, not death choke",DNA : Daily News & Analysis,NA,Mumbai,2016-12-03,notes to black money and eliminate fake notes in circulation is also likely to affect the criminal-terrorism nexus. While the move will temporarily deal a,0
"Biggest haul in new currency: I-T raids in Bengaluru uncover Rs 30crore in cash, assets [Bengaluru]",The Times of India,NA,New Delhi,2016-12-03,crore. This is said to be the biggest seizure of cash in new currency after demonetization was announced on Nov 8. Income Tax officials also,0
Year-end special: Four cheers for home buyers in 2016 [Real Estate],The Economic Times,NA,New Delhi,2016-12-03,housing market would continue to experience a lull. The primary market is likely to remain unaffected by the demonetisation shock as it is largely financed,0
INDRA LOWERS GDP FORECAST TO 6.8% ON DEMONETISATION HIT,India Business Insight,NA,Bangalore,2016-12-03,"the economy due to the demonetisation drive. According to IndRa, demonetisation is likely to destroy Rs4.004 lakh crore worth of cash held in black money|the economy due to the demonetisation drive. According to IndRa, demonetisation is likely to destroy Rs4.004 lakh crore worth of cash held in black money",0
Karnataka govt suspends 2 officials raided by I-T dept [Bengaluru],The Times of India,BENGALURU,New Delhi,2016-12-03,"rules, the sources said. It was the biggest seizure of cash in new currency post demonetisation . The Income Tax department officials continued the raid",0
Gold cap a move to harass all: Arvind Kejriwal [Delhi],The Times of India,NEW DELHI,New Delhi,2016-12-03,"Kejriwal, at the launch of a mohalla clinic at Sarai Kale Khan, once again questioned the Centre's demonetisation move and the caps on holding gold",0
Banks start getting new Rs. 500 notes,The Hindu,Tamil Nadu,Chennai,2016-12-03,"crunch after demonetisation of Rs. 500 and Rs. 1,000 currency notes is likely to ease in the coming days as the banks started receiving new",0
HDFC Bank: On a strong footing,Businessline,NA,Chennai,2016-12-03,"pick up in economic growth, when it happens. In the near term, banks are likely to be impacted by the demonetisation move. HDFC Bank’s size,",0
"Demonetisation impact: Textile sector to be impacted in near-term, says ICRA",Financial Express,NA,NEW DELHI,2016-12-03,"worst-affected, the report said. In ICRA's assessment, the impact of demonetisation is likely to be the most severe for winter-wear retailers and manufacturers focused on",0
Telecom rivals tumble as Reliance Jio extends free services [News],The Economic Times,MUMBAI,New Delhi,2016-12-03,"recharge is dominant in rural areas for pre-paid services, this is also likely to get affected from the demonetisation impact and reflect on current quarter",0
Karnataka governement suspends officials raided by IT department [Bengaluru],The Times of India,BENGALURU,New Delhi,2016-12-03,"rules, the sources said. It was the biggest seizure of cash in new currency post demonetisation. The the Income Tax department officials continued the raid",0
"Nitish backs Modi's decision, but party divided on the issue",DNA. Sunday,New Delhi,Mumbai,2016-12-04,"New Delhi: Even as Bihar Chief Minister Nitish Kumar on Saturday once again supported the demonetization process, calling it is a positive step, divisions",0
‘SIPs are now part of ordinary parlance’,Businessline,NA,Chennai,2016-12-04,have steadily grown since the move and we believe that this trend is likely to continue at a faster pace in the coming days. With,0
"Nitish backs Modi's decision, but party divided on the issue",DNA. Sunday,New Delhi,Mumbai,2016-12-04,"New Delhi: Even as Bihar Chief Minister Nitish Kumar on Saturday once again supported the demonetization process, calling it is a positive step, divisions",0
Govt wants to know how you feel about cashless move [Goa],The Times of India,Panaji,New Delhi,2016-12-04,"gauge public sentiment post the demonetization move, the Laxmikant Parsekar-led government is likely to roll out a public survey to understand how Goans feel about",0
Cash crunch pangs may force RBI to advance rate cut,Businessline,NA,Chennai,2016-12-04,"on growth from the demonetisation move, the Reserve Bank of India is likely to cut its repo rate by 25 basis points from 6.25 per",0
RDCB staff not to withdraw November salary to help farmers [Rajkot],The Times of India,RAJKOT,New Delhi,2016-12-04,"its 186 branches. ""After demonetization, we have received Rs 90 crore in new currency notes from RBI and members of the bank are withdrawing the",0
"71 lakh in new notes seized near Udupi, biggest seizure in dist [Mangaluru]",The Times of India,MANGALURU,New Delhi,2016-12-04,"MANGALURU: In the biggest seizure of cash in new currency in the district after demonetization, Udupi police recovered Rs 71 lakh",0
Govt warns those trying to convert black money to white [India Business],The Times of India,New Delhi,New Delhi,2016-12-04,"new Rs 2,000 notes. This was the biggest seizure of cash in new currency after demonetisation was announced on November 8.The government has taken several",0
"More barter deals in UP, Punjab polls likely after cash ban: Election commissioner O P Rawat [Interviews]",The Economic Times,NA,New Delhi,2016-12-04,"needs since demonetisation on November 8? I withdrew Rs 10,000 cash (in new currency) and exchanged old notes worth Rs 4,000. That Rs 14,000 cash",0
"Bengaluru raids: 2 babus suspended, assets worth Rs 152 crore recovered [Bengaluru]",The Times of India,BENGALURU,New Delhi,2016-12-04,of Karnataka State Highway Development Project. The biggest-ever seizure of cash in new currency made by I-T sleuths following demonetisation on November 8 has got,0
"Demonetisation brouhaha: Opposition plans to corner Maharashtra government, CM says he is ready",The Hindustan Times,India,New Delhi,2016-12-05,"collapse, thanks to the demonetisation, the Opposition leaders said. The Opposition is also likely to target the government over the centre's decision of disallowing co-operative",0
Assembly winter session from today,Free Press Journal,Bhopal,NEW DELHI,2016-12-05,"to increase the duration of the Vidhan Sabha session. The Congress is likely to corner the government over demonetisation, encounter of SIMI activists, alleged corruption",0
CBI probes Rs 5.7 cr new note seizure in Bengaluru,Indian Express,NA,NEW DELHI,2016-12-05,and his associates in Bengaluru managed to collect Rs 5.7 crore of new currency following the November 8 demonetisation decision. Following searches at several properties,0
Five things to watch out for today,Businessline,NA,Chennai,2016-12-05,The demonetisation issue is likely to be debated in the Lok Sabha as the Speaker has admitted,0
GST and dual control: Talks between Centre and states gets more tricky,Financial Express,NA,NEW DELHI,2016-12-05,"needs is the kind of shock GST will give; and, with demonetisation likely to hit production, the revenues of states have taken a huge hit.",0
"Liquidity management, demonetisation, inflation key focus areas for RBI rate review [Policy]",The Economic Times,MUMBAI,New Delhi,2016-12-05,"be achieved. This would also give RBI tools to face future adverse conditions. ""There is a possibility that the RBI may not want to cut",0
Will the government ban the new Rs 2000 note in June 2017?,Free Press Journal,NA,NEW DELHI,2016-12-05,"There is a buzz, that the government may ban the new Rs 2000 currency note in June next year.|Rs 2000 currency note in June next year. The government had introduced new currency notes of Rs 500 and 2000, post the demonetisation move on",1
"Holiday plans take a hike, as all roads lead to banks",IANS English,New Delhi,Noida,2016-12-05,"he added. Some experts were of the view that the demonetisation move is likely to push people towards e-payments, which will have a major impact",0
Bad times loom,The Hindu,Other States,Chennai,2016-12-05,"smaller handlooms which are considered more artisanal, so the Ministry chooses to focus on them.” The government may have advertised the demonetisation move as an",0
States add cash crunch into GST mix,The Hindu,National,Chennai,2016-12-05,"their revenues drop because of demonetisation, whereas the Government of India is likely to get a dividend from the Reserve Bank of India (RBI) to",0
Bhopal: Assembly's winter session from today,Free Press Journal,BHOPAL,NEW DELHI,2016-12-05,"demanded to increase the duration of the Vidhan Sabha session.The Congress is likely to corner the government over demonetisation, encounter of SIMI activists, alleged corruption",0
CM's digitalisation plans may hit roadblock [Visakhapatnam],The Times of India,Visakhapatnam,New Delhi,2016-12-05,line (BPL) due to the troubles posed by the demonetisation drive is likely to hit a roadblock. The concerned officials point out that the main,0
How long will the country remain under Modi's spell?,Kashmir Times,Jammu,New Delhi,2016-12-05,"the poor has resonated with the public. It has resonated enough for well-founded questions around property rights infringement, the proportion of ill-gotten wealth likely to",0
"Guj losing its vibrancy, FDI dips 65% in first half of 2016",DNA : Daily News & Analysis,NA,Mumbai,2016-12-06,"this year, and with the economy reeling under demonetisation, the inflows are unlikely to see a big rise anytime in the near future. Gujarat received",0
IMGC sees lower demand for mortgage guarantees in the short term,Businessline,NA,Chennai,2016-12-06,"our volumes. The recent demonetisation move will hurt new originations but is unlikely to impact loans already written,” Mehra told BusinessLine. However, in November this",0
Make account details of all parties pubic: Cong MLA,Free Press Journal,NA,NEW DELHI,2016-12-06,"19 days regarding the demonetisation. To replace the demonetised currency with the new currency, it will take at least eight month, but the PM is",0
Cash crunch may finally set realty on REITs path [Real Estate],The Economic Times,MUMBAI,New Delhi,2016-12-06,MUMBAI: The government's demonetisation move is likely to bolster the prospects of the much-awaited listings of Real Estate Investment,0
Ruling side to bring Maratha issue to politically out manoeuvre Oppn,The Hitavada,NA,NEW DELHI,2016-12-06,"of State Legislature over the issue of demonetisation, the ruling side is likely to bring in the issue of Maratha reservation to politically outmanouvre the",0
Rupee likely to stabilise in 2017,DNA : Daily News & Analysis,NA,Mumbai,2016-12-06,"$7.88 billion during the first half of FY17. India's gold imports are likely to decline further due to demonetization which has curtailed, in a big",0
"Pune: EC to publish candidates wealth, crime records in newspapers",Indian Express,NA,NEW DELHI,2016-12-06,as excise departments. Saharia said the cash-crunch caused by demonetisation is not likely to have any adverse effect on the conduction of elections as the,0
Andhra Pradesh has a long way to go to become 'cashless' state [Hyderabad],The Times of India,HYDERABAD,New Delhi,2016-12-06,Bank of India is not commensurate with the demand. The demonetisation is likely to hit the political and electoral prospects of the ruling Telugu Desam,0
GDP GROWTH TO SLOW TO 6.5% IN Q4,India Business Insight,NA,Bangalore,2016-12-06,"services major, demonetisation is impacting the growth numbers and the country is likely to see gradual recovery after the cash shortage eases. Source: Business Line",0
Rupee gains on RBI policy eve; Sensex holds its ground,Indian Express,NA,NEW DELHI,2016-12-07,to be factored in to the policy decision. We believe that this uncertainty is likely to hold back the RBI from cutting rates too aggressively,0
What to look out for in RBI monetary policy statement today,Mint,Mumbai,New Delhi,2016-12-07,Patel to clarify: Impact on growth Most economists have stated that demonetisation is likely to have a negative impact on gross domestic product (GDP) growth,0
Cash woes for locals and tourists alike in Pernem [Goa],The Times of India,Mapusa,New Delhi,2016-12-07,"at ATMs post demonetization was slowly ebbing, the tremors were severely felt once again, almost a month since its announcement on November 8. Owing to",0
Global situation not conducive to cut,Businessline,NA,Chennai,2016-12-07,"the 'upside'. While we agree that the deflationary impact of demonetisation is likely to be modest, the upside risk on account of oil and other",0
"All pain, little gain: Demonetisation math does not add up (News Analysis)",IANS English,New Delhi,Noida,2016-12-07,"minimum, to be around Rs 1.5 lakh crore. The actual cost of executing the demonetisation drive -- printing the new notes, logistics and the like",0
SBI ready to cut rates if given relief in CRR [India Business],The Times of India,Mumbai,New Delhi,2016-12-07,"released after relaxing CRR. ""With demonetisation, bank deposits have surged.However, economic growth is likely to be subdued for the next two quarters with various sectors",0
"RBI keeps repo rate unchanged, but expect your EMIs to come down soon",Financial Express,NA,NEW DELHI,2016-12-07,"could change dramatically. ""With the swelling of deposits following demonetization, it is possible that this pass on effect will gather speed. The new CASA, which",0
Munda asks govt to install more than five ATMs in TEs,The Assam Tribune,DIBRUGARH,New Delhi,2016-12-07,"workers don't face problems for want of lower denomination currency notes. 'Without making new currency notes available, demonetising Rs 1000 and Rs 500 was a",0
Demonetisation a well deliberated decision: RBI [India Business],The Times of India,NEW DELHI,New Delhi,2016-12-08,"ease the cash crunch, the RBI also assured the steady supply of new notes into the system. ""The demonetisation decision was not taken in haste.|the system. ""The demonetisation decision was not taken in haste. 19 billion new notes have been given to public, more than what we have supplied",0
Army roped in for printing of new notes,Free Press Journal,Dewas,NEW DELHI,2016-12-08,"Dewas: Army men will help Bank Note Press, Dewas, in printing of new notes. Following demonetization, crash crunch is being experienced across the country. The",0
"Demonetisation, a useless exercise: Sushmita Deb, AICC spokesperson [Politics and Nation]",The Economic Times,NEW DELHI,New Delhi,2016-12-08,"statement that ""almost the entire cash in the system after demonetisation is likely to be deposited back into the system"", PM Modi's ""last wicket in",0
Rising competition hurts LG India's FY16 sales show [Electronics],The Economic Times,KOLKATA,New Delhi,2016-12-08,"make any major breakthrough in the e-commerce and smartphone markets, and demonetisation likely to impact sales for a couple of months, two senior industry executives",0
Opposition observes ‘Black Day’ in Parliament,Businessline,NA,Chennai,2016-12-08,economy. That’s few people should get maximum benefit from cash transactions.” Gandhi once again demanded a debate in Lok Sabha on demonetisation under a rule,0
Demonetisation: How StoreKing is proving itself the Amazon of rural India [Startups],The Economic Times,Manjunath Goankar,New Delhi,2016-12-08,"goods through StoreKing retailers, promising to pay once they lay their hands on the new currency notes. Nonetheless, Sridhar Gundaiah, founder of StoreKing, says demonetisation",0
Here is why demonetisation may have stalled India's growth engines [News],The Economic Times,NA,New Delhi,2016-12-08,"to hit the consumption demand directly.Trade, farming and investment activities are also likely to be affected. Not surprisingly, in the aftermath of demonetisation, there has",0
Will all the banned notes return to the system? Urjit Patel non-commital,The Hindustan Times,India,New Delhi,2016-12-08,"on the impact of demonetisation of ?500 and ?1,000 notes. Patel said the new currency notes have enhanced security and ""it will be more difficult",0
"Demonetisation: For the Indian economy, gains far outweigh the losses",Financial Express,NA,NEW DELHI,2016-12-08,all these regulations they will not be impacted by the move. The new currency provisions along with the other regulatory reforms will instill more confidence,0
Demonetisation a blunt instrument of economic policy,Mint,New Delhi,New Delhi,2016-12-08,"however, only a matter of time before the new currency is counterfeited. Counterfeited new currency surfaced within days of demonetisation. Government data shows that counterfeit",0
"Demonetisation: In Kutch dust bowl, scrapped notes still do the rounds",Indian Express,NA,NEW DELHI,2016-12-08,"notes. Every other inhabitant has heard of demonetisation. Few have seen the new notes of Rs 2,000 and Rs 500. For them, the old currencies",0
"I-T Dept seizes Rs 106 cr cash, 127 kg gold in Chennai",Businessline,NA,Chennai,2016-12-09,"to check tax evasion post demonetisation. This is the largest seizure of new currency notes after the old Rs 500 and Rs 1,000 notes were",0
"Demonetisation: Cash crunch may ruin SP, BSP's plans to hire choppers for UP poll campaign [Politics and Nation]",The Economic Times,NEW DELHI,New Delhi,2016-12-09,"three while Apna Dal, a member of the BJP-led National Democratic Alliance, is likely to hire one. The person, however, added that demonetisation would mean",0
"Rs 2k hard to get, they have Rs 17L [Gurgaon]",The Times of India,GURGAON,New Delhi,2016-12-09,Madhya Pradesh. This is the first time such a large sum in new currency has been seized in Gurgaon since demonetisation. Large sums of old,0
"A Month after notes ban: Sales of drugs, mobiles, jewellery yet to recover",Indian Express,NA,NEW DELHI,2016-12-09,sector has been worst affected by the demonetisation move as shortage of new currency has curbed buyers ability to purchase gold. Sales in the unorganised,0
Govt may get back entire Rs 14 lakh cr,The Hindustan Times,NEW DELHI,New Delhi,2016-12-09,"1,000 notes), the entire Rs 14 lakh crore in circulation before demonetisation is likely to come back into the system, sources said. ""Depositing money in",0
Year-end special: Invest in smallcap mutual funds with a long-term view [Invest],The Economic Times,NA,New Delhi,2016-12-09,looks challenging due to the temporary slowdown caused by demonetisation. Complexity is likely to go up further during the initial phase of GST implementation as,0
State limit of cash account holder can withdraw: SC to government,IANS English,New Delhi,Noida,2016-12-09,The court On Friday noted the seven to eight questiosn that it is likely to address having bearing on the demonetisation decision including the legality,0
"Manmohan Singh blasts Narendra Modi, says demonetisation 'shattered faith of Indians'",Financial Express,NA,NEW DELHI,2016-12-09,"Minister and senior Congress leader, Manmohan Singh has criticised PM Narendra Modi once again over the demonetisation decision and termed it as a 'mere rap|Minister and senior Congress leader Manmohan Singh has criticised PM Narendra Modi once again over the demonetisation decision and termed it as a 'mere rap",0
Currency paper coming from banned firm: AAP [Delhi],The Times of India,NEW DELHI,New Delhi,2016-12-09,"in India get contracted again by RBI for supply of paper for new currency? If the stated purpose of demonetisation was elimination of fake currency,",0
BSP man says he was denied ticket for not giving Rs 1 crore in new notes [Bareilly],The Times of India,Shahjahanpur,New Delhi,2016-12-09,"But after demonetisation, I was asked to pay Rs 1 crore in new currency. I have the audio recording of district president Udaiveer Singh and",0
State limit of cash account holder can withdraw: SC to government,The Peninsula,New Delhi,Camden,2016-12-09,The court On Friday noted the seven to eight questiosn that it is likely to address having bearing on the demonetisation decision including the legality,0
"RBI rate cut: 25-50 bps reduction in CY17 possible, says Kotak",Financial Express,NA,NEW DELHI,2016-12-09,"a hawkish stance. RBI noted that the disinflationary impact of demonetisation is likely to be low and transitory in nature, and could lower the Q3FY17",0
State cash withdrawal limit: SC to government,The Sentinel,New Delhi,NEW DELHI,2016-12-09,there.The court On Friday noted the seven to eight questiosn that it is likely to address having bearing on the demonetisation decision including the legality,0
Govt may get back entire ?14 lakh crore,The Hindustan Times,India,New Delhi,2016-12-09,"and ?1,000 notes), the entire ?14 lakh crore in circulation before demonetisation is likely to come back into the system, sources said. ""Depositing money in",0
What GST can learn from demonetisation: Getting into new tax regime without tech preparedness might be counterproductive,Financial Express,NA,NEW DELHI,2016-12-09,situations similar to those experienced during demonetisation like inability of ATMs to disburse new currency notes due to delay in recalibration. The risk of technological,0
Police seize new currency notes worth crores across several cities,Indian Express,NA,NEW DELHI,2016-12-09,"across the country to clamp down on tax evasion post demonetisation. The new currency notes were seized from Haryana, Gujarat and Maharashtra and several people",0
India's growth to be back on recovery path from April next year: Report,Businessline,NA,Chennai,2016-12-09,impact of demonetisation will only be short-term and India’s growth momentum is likely to get back on recovery path from April next year with support,2
"Patients put off surgeries, fewer checks in pvt hospitals [Aurangabad]",The Times of India,Aurangabad,New Delhi,2016-12-09,the footfall at private hospitals and clinics because of the deficiency of new currency notes even 30 days after demonetisation. Patients and their families are,0
"Urban cooperatives see a ray of hope, may get more money [Pune]",The Times of India,Pune,New Delhi,2016-12-09,"reeling under cash crunch for the last one month following demonetization, are likely to receive more cash in the coming days. Members of the Maharashtra",0
Demonetisation: Politics trumps economics,Mint,New Delhi,New Delhi,2016-12-09,"recognized that economics and politics, closely intertwined, are inseparable. Indeed, their interaction is likely to shape future outcomes. The implementation of the demonetisation decision requires",0
"Opposition blinks, asks Speaker to initiate Lok Sabha debate [India]",The Times of India,NEW DELHI,New Delhi,2016-12-09,"rule like 184 or under an adjournment motion requires a ""substantive motion"" that is likely to be critical of the demonetisation decision and this is",0
Rising competition hurts LG India's FY16 sales show [India Business],The Times of India,KOLKATA,New Delhi,2016-12-09,"make any major breakthrough in the e-commerce and smartphone markets, and demonetisation likely to impact sales for a couple of months, two senior industry executives",0
Loss from House logjam greater than Bofors scandal: Ex-SC judge,IANS English,New Delhi,Noida,2016-12-09,"that it has caused hardships, Shah hailed the demonetisation move. ""Demonetisation has once again ignited the hope for a corruption-less India. Of course, it has",0
‘India’s growth pace to recover from next April’,The Hindu,Business,Chennai,2016-12-10,impact of demonetisation will only be short-term and India's growth momentum is likely to get back on recovery path from April next year with support,0
Mayawati summons key party functionaries to Delhi [Lucknow],The Times of India,Lucknow,New Delhi,2016-12-10,"the meeting remains closely guarded, party sources said the BSP boss was likely to seek feedback on the impact of demonetization in each and every",0
Deposit of new notes in machines problematic [Nagpur],The Times of India,Nagpur,New Delhi,2016-12-10,Nagpur: ATMs have been calibrated to dispense new notes and fresh software installed owing to demonetisation. The cash flow in,0
GROWTH RECOVERY FROM APR: MORGAN STANLEY,India Business Insight,NA,Bangalore,2016-12-10,with support from consumption and exports as the impact of demonetisation is likely to only be short-term. The firm expects the gross domestic product growth,2
"Demonetisation: Govt issues stern warning to banks on wrongdoings, say sources",Financial Express,NA,NEW DELHI,2016-12-10,"sector banks after reports of alleged irregularities in converting old currency into new notes post the demonetisation drive. Recently, several branches of Axis Bank were|on bank officials since note ban to curb black money conversions into new notes. Last week, the ED had arrested two managers of Axis Bank's",0
"Demonetisation: Cash crunch may ruin SP, BSP's plans to hire choppers for UP poll campaign [India]",The Times of India,NEW DELHI,New Delhi,2016-12-10,"three while Apna Dal, a member of the BJP-led National Democratic Alliance, is likely to hire one. The person, however, added that demonetisation would mean",0
"Cash Crunch: Slowdown, more pain ahead, warns Kaushik Basu",Indian Express,NA,NEW DELHI,2016-12-10,"the economics of demonetisation was complex and that the collateral damage was likely to far outstrip its benefits, joining a growing number of those who|not good for the economy. Basu said the support for demonetisation is unlikely to last for a long time once the people undergo sustained hardship",0
Delhi-NCR hosts India's top 3 retail spaces,DNA : Daily News & Analysis,NA,Mumbai,2016-12-10,"to the cautious outlook by retailers."" He added, ""The government decision to demonetize large value currencies is likely to have some negative impact on the",0
A thorough shake-up for realty,The Hindu,Property Plus,Chennai,2016-12-10,a small part of all transactions in this space. The demonetisation move is likely to result in luxury property prices dipping by as much as,0
Going digital,Indian Express,NA,NEW DELHI,2016-12-10,economy has become the most significant end objective of the demonetisation drive. This narrative is unlikely to change any time soon because the availability of,0
Crime branch seizes ?85 lakh in new currency from Matunga,The Hindustan Times,India,New Delhi,2016-12-10,"notes seized from TV actor, two others Cash crunch? Rs 242 crore in new currency seized after demonetisation Syndicate busted in Mumbai for exchanging scrapped",0
FACTORY OUTPUT SHRINKS 1.9% IN OCT 2016,India Business Insight,NA,Bangalore,2016-12-10,sharp increase in the growth of electricity generation and automobile production are likely to counteract the adverse impact of demonetisation. The Reserve Bank of India,0
Demonetisation: No relief from black money,Free Press Journal,NA,NEW DELHI,2016-12-10,"generation of black money will continue as previously. Therefore, demonetisation is not likely to help reduce the menace of black money.The Government has made it|the black money abroad. People fear that the Government may demonetise the new notes of Rs 2000 again. Some fear that notes of Rs 100",1
Bank holidays add to hardships [Aurangabad],The Times of India,Aurangabad,New Delhi,2016-12-11,"and 19, that are lying imminent and the concerned wedding parties are likely to feel the heat due to demonetisation. Also, families planning outstation trips",0
Pensioners League to protest against ‘neglect’ of Malappuram,The Hindu,Kerala,Chennai,2016-12-11,was being neglected by the Reserve Bank of India when it distributed new currency notes in the wake of the demonetisation. Credit: Staff Reporter,0
Indian Rupee: Caught between a richly valued asset market &amp; aggressive central banker,Financial Express,NA,NEW DELHI,2016-12-11,"already inched higher. b) In absence of large scale revenue windfall from demonetisation, government may opt for sizable fiscal push to revive the economy. This",0
2016 vs 1946: Tale of two notebandis [India],The Times of India,NA,New Delhi,2016-12-11,"hurtled India towards Partition. Seventy winters later, there's hope and despair in India once again. Will demonetisation bring 'achhe din' this time around?",0
"Some support demonetisation, others say it lacks planning [Visakhapatnam]",The Times of India,NA,New Delhi,2016-12-11,"move lacks proper planning. The government should have been ready with the new notes ahead of the announcement. When they want to ban big notes,|move lacks proper planning. The government should have been ready with the new notes ahead of the announcement. When they want to ban big notes,",0
When Odisha CM Naveen Patnaik's aircraft was physically pushed on the runway,Financial Express,NA,NEW DELHI,2016-12-11,to the ripple effect of note ban. The pushing of an aircraft is likely to be remembered for years as if this is what can,0
Demonetisation hits TDP’s membership drive,The Hindu,Andhra Pradesh,Chennai,2016-12-11,once till December 15 in view of the demonetisation and it is likely to be extended one more time as even 50 per cent of,0
